#         t          x          y          z         vx         vy         vz
      0.000     -98.560    -120.020    -127.790     -28.240     173.930      91.530
      0.010     -98.839    -118.276    -126.870     -27.539     174.777      92.438
      0.020     -99.111    -116.524    -125.941     -26.822     175.627      93.357
      0.030     -99.375    -114.764    -125.003     -26.089     176.481      94.287
      0.040     -99.632    -112.995    -124.055     -25.339     177.339      95.229
      0.050     -99.882    -111.217    -123.098     -24.573     178.201      96.182
      0.060    -100.124    -109.431    -122.132     -23.789     179.065      97.146
      0.070    -100.358    -107.636    -121.155     -22.987     179.934      98.123
      0.080    -100.583    -105.832    -120.169     -22.166     180.805      99.112
      0.090    -100.801    -104.020    -119.173     -21.327     181.680     100.113
      0.100    -101.010    -102.198    -118.167     -20.468     182.557     101.127
      0.110    -101.210    -100.368    -117.150     -19.589     183.438     102.154
      0.120    -101.402     -98.530    -116.124     -18.690     184.321     103.194
      0.130    -101.584     -96.682    -115.086     -17.769     185.206     104.247
      0.140    -101.757     -94.826    -114.039     -16.826     186.094     105.314
      0.150    -101.920     -92.960    -112.980     -15.860     186.985     106.395
      0.160    -102.074     -91.086    -111.911     -14.872     187.877     107.489
      0.170    -102.218     -89.203    -110.830     -13.859     188.770     108.598
      0.180    -102.351     -87.310    -109.739     -12.822     189.665     109.721
      0.190    -102.474     -85.409    -108.636     -11.759     190.562     110.859
      0.200    -102.586     -83.499    -107.521     -10.670     191.459     112.013
      0.210    -102.687     -81.580    -106.395      -9.554     192.356     113.181
      0.220    -102.777     -79.652    -105.258      -8.410     193.254     114.365
      0.230    -102.855     -77.715    -104.108      -7.237     194.151     115.564
      0.240    -102.922     -75.769    -102.946      -6.035     195.048     116.780
      0.250    -102.976     -73.814    -101.772      -4.802     195.944     118.011
      0.260    -103.017     -71.850    -100.586      -3.538     196.838     119.259
      0.270    -103.046     -69.877     -99.387      -2.241     197.730     120.524
      0.280    -103.062     -67.896     -98.175      -0.911     198.619     121.805
      0.290    -103.064     -65.905     -96.951       0.454     199.505     123.104
