#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.062   -102.158   -117.976    -20.810    182.713    102.841
      0.200   -102.662    -83.431   -107.147    -11.180    191.841    113.749
      0.300   -103.162    -63.785    -95.150      1.161    201.079    126.195
      0.400   -102.245    -43.234    -81.820     17.198    209.928    140.401
      0.500    -99.472    -21.871    -66.978     38.260    217.343    156.439
      0.600    -94.264      0.059    -50.463     65.903    221.261    173.868
      0.700    -85.913     22.024    -32.222    101.100    218.039    190.954
      0.800    -73.763     43.071    -12.490    141.903    202.899    203.672
      0.900    -57.634     61.911      8.025    180.685    173.893    206.635
      1.000    -38.221     77.472     28.240    207.576    137.328    197.670
      1.100    -16.826     89.456     47.234    220.315    102.344    182.213
      1.200      5.335     98.246     64.608    222.918     73.464    165.262
      1.300     27.475    104.468     80.340    219.879     50.974    149.377
      1.400     49.175    108.700     94.576    214.115     33.679    135.343
      1.500     70.241    111.399    107.502    207.208     20.290    123.179
      1.600     90.600    112.902    119.294    199.964      9.780    112.664
      1.700    110.237    113.462    130.104    192.779      1.403    103.532
      1.800    129.168    113.263    140.058    185.837     -5.373     95.544
      1.900    147.420    112.448    149.260    179.217    -10.930     88.501
      2.000    165.028    111.124    157.797    172.943    -15.541     82.242
      2.100    182.026    109.377    165.741    167.013    -19.407     76.636
      2.200    198.447    107.273    173.152    161.410    -22.680     71.582
      2.300    214.323    104.865    180.081    156.113    -25.472     66.995
      2.400    229.684    102.198    186.571    151.100    -27.870     62.808
      2.500    244.556     99.307    192.660    146.346    -29.942     58.966
      2.600    258.965     96.223    198.379    141.831    -31.741     55.423
      2.700    272.933     92.971    203.758    137.533    -33.311     52.141
      2.800    286.482     89.571    208.819    133.435    -34.685     49.090
      2.900    299.629     86.042    213.586    129.520    -35.892     46.242
      3.000    312.394     82.400    218.077    125.773    -36.954     43.575
      3.100    324.792     78.657    222.309    122.180    -37.890     41.070
      3.200    336.837     74.827    226.298    118.730    -38.717     38.710
      3.300    348.544     70.919    230.058    115.410    -39.447     36.481
      3.400    359.925     66.942    233.600    112.211    -40.092     34.370
      3.500    370.992     62.904    236.937    109.125    -40.662     32.366
      3.600    381.755     58.813    240.078    106.143    -41.164     30.461
      3.700    392.225     54.674    243.033    103.257    -41.607     28.645
      3.800    402.411     50.494    245.811    100.461    -41.995     26.911
      3.900    412.322     46.278    248.419     97.749    -42.334     25.252
      4.000    421.965     42.029    250.865     95.115    -42.629     23.664
      4.100    431.349     37.754    253.155     92.555    -42.884     22.139
      4.200    440.480     33.454    255.296     90.063    -43.103     20.674
      4.300    449.364     29.135    257.293     87.636    -43.288     19.265
      4.400    458.010     24.798    259.152     85.269    -43.443     17.907
