galaxy,snapshot,snap_int,time_Myr,ptype,xcom,ycom,zcom,vxcom,vycom
MW,000,0,0.0,1,-0.5006201220374269,1.3967595409122806,-1.0406430025587137,-3.013470849075975,0.8122260564681721
MW,000,0,0.0,2,-2.083555765957447,2.958140429759053,-1.4539899191207553,0.5283395301649081,-1.6582357177151075
MW,000,0,0.0,3,-2.0086426037921346,2.4603973092295344,-1.3010654680036116,-3.0305043428446585,-1.1685948162551894
MW,001,1,14.2857,1,-0.6091598425805393,1.4712406216890557,-1.2358780084499474,-4.51227645932377,1.5991346581967227
MW,001,1,14.2857,2,-2.054738880028996,3.1154923124320404,-1.4694187060529178,1.194019683180343,-0.533176252591253
MW,001,1,14.2857,3,-1.9998638834672953,2.607693600405297,-1.305006455615971,2.6290549410170456,-0.29140197827797193
MW,002,2,28.57142,1,-1.9739400000000002,3.3434284615384615,-1.402641923076923,-7.968546855440416,-1.6377249968911907
MW,002,2,28.57142,2,-1.9451179907539118,3.2239619416785206,-1.4785228588193458,1.820769867362481,-0.9677904812151267
MW,002,2,28.57142,3,-1.9449773930144463,2.700415353553371,-1.342166606378772,3.9509769376174866,-0.6175894787103823
MW,003,3,42.85712,1,-1.757506,2.964776,-1.706582,-11.206303218106145,4.277744473465142
MW,003,3,42.85712,2,-1.823591583941606,3.239500583941606,-1.4803202478102189,0.31602089485522405,-1.4472239686967097
MW,003,3,42.85712,3,-1.8783602040830658,2.7380320661717494,-1.3528583541813803,4.032274373588622,-0.9557484457155364
MW,004,4,57.14285,1,-1.2297647350828083,2.3815030267623047,-1.7215291108000934,-7.520062945015108,0.8351039577039284
MW,004,4,57.14285,2,-1.7625145222222223,3.179653459259259,-1.4945937462962964,0.6652630297174625,-0.9822102032870895
MW,004,4,57.14285,3,-1.8447021740088283,2.738016572924759,-1.3560336418980738,-0.33553445473061766,0.33735522566798065
MW,005,5,71.42857,1,0.0,0.0,0.0,0.0,0.0
MW,005,5,71.42857,2,-1.7741386516853932,3.1817291460674157,-1.497328808988764,-0.28626000913139626,-0.7870227235069897
MW,005,5,71.42857,3,-1.856365158024077,2.743745947882223,-1.3719579485714286,-1.2006817301514157,1.0567525138687741
MW,006,6,85.71427,1,-0.7614461880597884,2.0941495005093786,-1.4989176075322395,-0.17660023263816454,0.263855450698645
MW,006,6,85.71427,2,-1.8107055655448039,3.0356987249997034,-1.4727502316221777,-1.2345665124835135,-1.5938029196270587
MW,006,6,85.71427,3,-1.8378880704654896,2.7835436527698634,-1.3865900405058187,2.6258573529980245,-1.5861135736613226
MW,007,7,99.99999,1,-1.955786243902439,2.9804166341463416,-1.9119277731707318,0.6221111892450878,2.016990449844882
MW,007,7,99.99999,2,-1.8182307530969584,3.032346162212389,-1.4966986641680637,-2.247442017042793,-1.5234855038792834
MW,007,7,99.99999,3,-1.842557773998796,2.838769295561798,-1.4199061754253612,0.9452058624643721,-1.9211867398816045
MW,008,8,114.28571,1,-0.9206493424501987,2.2107869602454886,-1.6325314986794004,0.18879663854166684,-0.03431414270833348
MW,008,8,114.28571,2,-1.8359388898189475,3.0577955440832234,-1.5152819000261577,-2.4095073178332056,-0.9439513335571975
MW,008,8,114.28571,3,-1.8496004185573836,2.897934116398475,-1.422603021618178,-1.4079709579408546,-1.021759694469004
MW,009,9,128.57141,1,-2.0365857897353496,2.9632126683175803,-1.6254074599243857,0.1503541941598351,-2.197769354508198
MW,009,9,128.57141,2,-1.8691917965269111,3.0806834931368003,-1.5362503136499166,-2.9949441880498116,-1.290929905388996
MW,009,9,128.57141,3,-1.8464623585012039,2.9794577138663723,-1.4244065521769662,1.6390685395053617,-1.1244297286058218
MW,010,10,142.85713,1,-1.1119389122296708,2.289778308360252,-1.7356114880063322,5.514130350931677,2.7058915663561076
MW,010,10,142.85713,2,-1.900546968896795,3.1206895649728748,-1.548147957796587,-5.156571275681469,-0.9342857632264927
MW,010,10,142.85713,3,-1.7617179396591367,3.236858957482856,-1.5497966290458451,-2.235080083479021,-1.708696918509615
MW,011,11,157.14286,1,-2.542462319148936,3.478657574468085,-1.7306426574468086,7.630819741361258,1.8467252596858659
MW,011,11,157.14286,2,-1.9633316799359193,3.181146421939776,-1.5672025305344879,-3.051221314560102,-1.6952573742730666
MW,011,11,157.14286,3,-1.7880085920411455,3.233759847048608,-1.5883105287680113,-1.6477673808919984,-4.701668609182335
MW,012,12,171.42856,1,0.5969996167596162,1.9631417321117606,-1.3743131717077033,9.635474193625916,1.9398586560083595
MW,012,12,171.42856,2,-2.0288788145802465,3.234153328300966,-1.5852865405737335,-3.913795966965801,-1.006387655048305
MW,012,12,171.42856,3,-1.8495237575897538,3.2661247612081485,-1.6092091307603873,-7.0383740458056785,-0.7047329003930136
MW,013,13,185.71428,1,-1.5368110952662721,3.3576966010650886,-1.6927267467455622,5.959545842479676,3.6799023672764246
MW,013,13,185.71428,2,-2.0798528641455745,3.30526299395336,-1.5933901374037152,-5.17311268567706,-0.4876878858790886
MW,013,13,185.71428,3,-1.960351338663037,3.3031502804922366,-1.5923693832667876,-1.9517844326637561,-0.360996650567686
MW,014,14,199.99998,1,0.5223902560965898,2.0914215582808975,-1.4408789924657022,-0.7199957012320346,3.6514021899383975
MW,014,14,199.99998,2,-2.132709567425512,3.3634966497078556,-1.5844117348068423,-4.147384293680916,1.1762894795541308
MW,014,14,199.99998,3,-1.9932190664972778,3.3367953367735432,-1.6076373526477112,-3.1991260363223413,1.5602774846036258
MW,015,15,214.2857,1,0.4541915988487836,2.1880443166279617,-1.380037244430179,-6.726782848877552,3.5782392918367347
MW,015,15,214.2857,2,-2.163059797519893,3.407491272804139,-1.577945663145085,-3.4850306167238885,-0.05637958119839983
MW,015,15,214.2857,3,-2.0905706069152474,3.4341633216929788,-1.6105248056385542,-1.557542089203926,-2.1883252442529995
MW,016,16,228.57142,1,-2.27387,3.84796,-1.27518,-6.811714738906091,3.6323698008255954
MW,016,16,228.57142,2,-2.315065077179808,3.5923631525518007,-1.59917340328188,-4.399156676335253,0.030225062389239353
MW,016,16,228.57142,3,-2.068796354297237,3.431170886785642,-1.613396957876588,-3.939135947599652,0.8800948892833811
MW,017,17,242.85712,1,0.0,0.0,0.0,0.0,0.0
MW,017,17,242.85712,2,-2.3371981128649253,3.6402941625925407,-1.5863814448945384,-5.121351886151865,-0.4966488188923944
MW,017,17,242.85712,3,-2.1336673050695705,3.458128423210325,-1.5997251636083887,-2.3390990264343463,0.37360753452042794
MW,018,18,257.14285,1,-1.5908056344502923,3.3528057569005845,-1.5983154811643276,-6.6096620143884905,0.7732904254881813
MW,018,18,257.14285,2,-2.3777636587816784,3.4906851227209637,-1.573734797679317,-6.010833905661707,-0.43411749637632246
