snapshot,snap_int,time_Myr,r_M31_M33,M31_enc,M33_total,JacobiR
000,0,0.0,201.24306840530292,1274591083829.9998,171392138660.0,81.83095242172934
001,1,14.2857,199.09813596445588,1268751606349.9998,171392138660.0,81.08277924344749
002,2,28.57142,196.99781103579306,1262449112229.9998,171392138660.0,80.36070549978626
003,3,42.85712,194.82098693342604,1256148623370.0,171392138660.0,79.60536982235224
004,4,57.14285,192.6608531712026,1249694464050.0,171429461280.0,78.86373692304066
005,5,71.42857,190.46794625676824,1244162327489.9998,171429461280.0,78.08148029059893
006,6,85.71427,188.3288240683382,1238779850869.9998,171466783900.00003,77.32182320212185
007,7,99.99999,186.22102226844376,1233553049970.0,171466783900.00003,76.56426153256302
008,8,114.28571,184.12581726894553,1227096885390.0,171466783900.00003,75.83535749745562
009,9,128.57141,182.0390329910088,1222025760210.0,171504106520.00003,75.08489459086773
010,10,142.85713,179.94847328620912,1216720118819.9998,171504106520.00003,74.33033882708828
011,11,157.14286,177.82102435999636,1209418766710.0,171429461280.0,73.5884001963141
012,12,171.42856,175.67901109182353,1202572410200.0,171429461280.0,72.83966745319687
013,13,185.71428,173.42159408949573,1194577535760.0,171429461280.0,72.06375383841646
014,14,199.99998,171.22630759302834,1187816035519.9998,171429461280.0,71.28627446130055
015,15,214.2857,169.0034115847063,1181052530019.9998,171504106520.00003,70.50510700241892
016,16,228.57142,166.7492291412148,1174212189289.9998,171504106520.00003,69.69952461291864
017,17,242.85712,164.4728512751881,1166906826659.9998,171504106520.00003,68.89118741784927
018,18,257.14285,162.1896706930575,1161065343920.0,171541429140.0,68.05352843201528
019,19,271.42857,159.96862254692368,1153304985690.0,171578751760.0,67.2766851545975
020,20,285.71427,157.60380420273694,1144005917600.0,171578751760.0,66.46124032300153
021,21,299.99999,155.31434044511,1135244696120.0,171578751760.0,65.66383331856275
022,22,314.28571,152.92480461962498,1125941617510.0,171653397000.0,64.84056332017911
023,23,328.57141,150.64027110956192,1117487736949.9998,171653397000.0,64.03257530087505
024,24,342.85714,148.31137991141338,1108415164029.9998,171690719620.0,63.21875389316123
025,25,357.14286,145.9072707682299,1097573375559.9998,171802687480.00003,62.411659711865205
026,26,371.42856,143.50880450163828,1088957803499.9998,171840010100.00003,61.55163978740093
027,27,385.71428,140.94460825148053,1079353399749.9999,171840010100.00003,60.63062012952174
028,28,399.99998,138.56037364429037,1069209144129.9999,171914655340.00003,59.80155259008746
029,29,414.2857,136.11031931926766,1058749526549.9998,171914655340.00003,58.936943797578905
030,30,428.57142,133.75851021954435,1049446447939.9999,171914655340.00003,58.089231478251335
031,31,442.85712,131.4533301087042,1039910858379.9998,171914655340.00003,57.262089309993115
032,32,457.14285,129.05407359504565,1029147910399.9999,172026623200.00003,56.424494244014795
033,33,471.42857,126.745640831021,1017923951039.9999,172026623200.00003,55.61814202472258
034,34,485.71427,124.44310292683932,1007314673519.9998,171989300580.00003,54.79483072294671
035,35,499.99999,122.20298374526537,996470879789.9999,172026623200.00003,54.00684770456002
036,36,514.28571,119.96272394765367,985174095719.9999,172063945820.00003,53.22250172388763
037,37,528.57141,117.79350081687886,974257477279.9999,172101268440.00003,52.45836756929773
038,38,542.85714,115.55560190136815,963185183120.0,172101268440.00003,51.658179639343736
039,39,557.14284,113.38075169487983,952116899479.9999,172175913680.0,50.888936429831375
040,40,571.42856,111.26246027779067,941275111009.9999,172138591060.0,50.12555758676129
041,41,585.71428,109.14883503656962,931043993859.9999,172175913680.0,49.35636539258587
042,42,599.99998,107.03746752866505,921281909129.9999,172287881540.0,48.58250335262696
043,43,614.2857,104.98458228590303,910595796379.9998,172325204160.0,47.83986141509402
044,44,628.57143,102.95977374327268,899375847539.9999,172250558920.0,47.104679591826255
045,45,642.85713,101.02930766129008,887925393009.9999,172362526780.0,46.42937493475338
046,46,657.14285,99.03819840942953,875858251379.9999,172362526780.0,45.72240593437923
047,47,671.42857,97.13383831378658,865172138629.9999,172362526780.0,45.027101804265826
048,48,685.71427,95.30615652203137,855406043379.9999,172362526780.0,44.34736325149776
049,49,699.99999,93.47188049823573,844178073499.9999,172399849400.0,43.68898143067931
050,50,714.28571,91.75293820359609,834636468159.9998,172362526780.0,43.04524134521697
051,51,728.57141,90.14624657034207,825179719089.9999,172325204160.0,42.44935237285228
052,52,742.85714,88.59828388701521,815569299559.9998,172325204160.0,41.883659677532506
053,53,757.14284,87.0930431942446,807883771299.9999,172325204160.0,41.30222420043783
054,54,771.42856,85.79935066346272,800964590079.9999,172362526780.0,40.80848897101315
055,55,785.71428,84.60355931626484,793582392219.9999,172362526780.0,40.364128381133284
056,56,799.99998,83.45537983983324,787201057609.9999,172250558920.0,39.91498740238706
057,57,814.2857,82.48432704607958,780892547709.9998,172175913680.0,39.550788210022084
058,58,828.57143,81.65379053757906,774810532979.9999,172175913680.0,39.25472855767128
059,59,842.85713,80.99036290964627,772420619809.9999,172213236300.0,38.97871965329365
060,60,857.14285,80.38938650546805,769571700519.9999,172175913680.0,38.73436894478236
061,61,871.42857,79.9001591127072,767804490229.9999,172175913680.0,38.528156427468105
062,62,885.71427,79.50824857107716,764039563959.9999,172138591060.0,38.39927165555861
063,63,899.99999,79.28715226955995,763578552579.9999,172138591060.0,38.30019590226335
064,64,914.28569,79.19402081542279,762814210799.9999,172026623200.00003,38.259682170336
065,65,928.57142,79.285166543843,765040427209.9999,172026623200.00003,38.26652603497501
066,66,942.85714,79.45883391803652,767118988939.9999,172026623200.00003,38.31567662073964
067,67,957.14284,79.82599137949566,770432930129.9999,172026623200.00003,38.43745264064868
068,68,971.42856,80.42521313055074,775500044789.9999,172063945820.00003,38.64425200312378
069,69,985.71428,81.15631900733929,780419504769.9999,172138591060.0,38.91906382419074
070,70,999.99998,82.04937007811277,788111048809.9999,172101268440.00003,39.21607618977516
071,71,1014.2857,83.11769867525463,796645775119.9999,172063945820.00003,39.5814517068221
072,72,1028.57143,84.26434718172926,803492131629.9998,171951977960.00003,40.004518223017975
073,73,1042.85713,85.60038352424323,812178523139.9999,171914655340.00003,40.49047254396411
074,74,1057.14285,87.00418335934393,821633266949.9999,171690719620.0,40.97821830353974
075,75,1071.42857,88.48287028504599,831625857369.9999,171578751760.0,41.49805197195904
076,76,1085.71427,90.04978788317472,843312833369.9999,171392138660.0,42.02168134574809
077,77,1099.99999,91.65727163194899,854154621839.9999,171354816040.0,42.586982264194056
078,78,1114.28569,93.35723886194754,865150080769.9999,171317493420.0,43.18915955416091
079,79,1128.57142,95.04288259894048,874839340789.9998,171280170800.0,43.80286616705633
080,80,1142.85714,96.85598986112694,885224128399.9999,171242848180.0,44.46000958041949
081,81,1157.14284,98.71201722350685,896444077239.9999,171168202940.0,45.1155917500994
082,82,1171.42856,100.71819820698869,909131916489.9999,171056235080.0,45.807362234518294
083,83,1185.71428,102.61920221070007,921813739959.9999,171018912460.0,46.45355512953554
084,84,1199.99998,104.46170428197064,933648370639.9999,170869621980.00003,47.07326046253572
085,85,1214.28571,106.35382297865685,945028005719.9999,170720331500.00003,47.7188493060543
086,86,1228.57143,108.23850839081638,956642157009.9998,170720331500.00003,48.36713654755474
087,87,1242.85713,110.09623305576586,967483945479.9998,170608363640.00003,49.002094643982005
088,88,1257.14285,112.04950077668494,979482272919.9999,170384427920.00003,49.645249851530224
089,89,1271.42855,114.04824981470237,993162954379.9998,170347105300.00003,50.29406150103958
090,90,1285.71427,116.05580612334029,1004306067989.9999,170272460060.00003,50.98193504382933
091,91,1299.99999,118.09528702254694,1013228980969.9999,170048524340.0,51.702434000342954
092,92,1314.2857,120.10491805504645,1023991928949.9999,169899233860.0,52.382041665028495
093,93,1328.57142,122.08448659750194,1034534397539.9998,169824588620.00003,53.05614539166077
094,94,1342.85714,124.09223160777273,1043833465629.9998,169824588620.00003,53.76806174942631
095,95,1357.14284,126.10632430588596,1053441879899.9999,169787266000.00003,54.47012607105768
096,96,1371.42856,128.1564091208259,1062205106639.9999,169749943380.00003,55.198941449296385
097,97,1385.71428,130.23729227880327,1071200844329.9998,169675298140.00003,55.92954222325279
098,98,1399.99998,132.25628698876466,1079887235839.9999,169712620760.00003,56.648042189444354
099,99,1414.28571,134.25072436614033,1087732450339.9999,169712620760.00003,57.363722221937486
100,100,1428.57143,136.15797877150843,1094572791069.9998,169526007660.00003,58.03593594152033
101,101,1442.85713,138.0356005980446,1102642495479.9998,169414039800.00003,58.679445537460246
102,102,1457.14285,139.88540712307804,1109175495289.9998,169376717180.0,59.344466179020905
103,103,1471.42855,141.7143301338249,1117016699269.9998,169376717180.0,59.97935412581741
104,104,1485.71427,143.5675928276584,1124779062759.9998,169302071940.0,60.614719996988256
105,105,1500.0,145.39331667512542,1131156386850.0,169264749320.00003,61.26546515851778
106,106,1514.2857,147.23534609615862,1139535437439.9998,169264749320.00003,61.889215636959186
107,107,1528.57142,149.00358236761008,1145682255840.0,169190104080.00003,62.51107510950315
108,108,1542.85714,150.7708262448747,1151291227629.9998,169227426700.00003,63.1542382678886
109,109,1557.14284,152.54533654019792,1158746250200.0,169190104080.00003,63.755522421900224
110,110,1571.42856,154.30257141020445,1165584585670.0,169190104080.00003,64.36358397113264
