snapshot,snap_int,time_Myr,r_M31_M33,M31_enc,M33_total,JacobiR
000,0,0.0,201.24306840530292,1274591083829.9998,171392138660.0,81.83095242172934
001,1,14.2857,199.10441300146465,1268828441579.9998,171392138660.0,81.08369880003188
002,2,28.57142,197.000237447771,1262525947459.9998,171392138660.0,80.36006503903285
003,3,42.85712,194.82098693342604,1256148623370.0,171392138660.0,79.60536982235224
004,4,57.14285,192.6608531712026,1249694464050.0,171429461280.0,78.86373692304066
005,5,71.42857,190.47489956084107,1244237157459.9998,171429461280.0,78.08276537211529
006,6,85.71427,188.3288240683382,1238779850869.9998,171466783900.00003,77.32182320212185
007,7,99.99999,186.22102226844376,1233553049970.0,171466783900.00003,76.56426153256302
008,8,114.28571,184.1071544571137,1227020050159.9998,171466783900.00003,75.8292536276152
009,9,128.57141,182.05026756978805,1222256265899.9998,171504106520.00003,75.08480778895019
010,10,142.85713,179.93129608166913,1216643283589.9998,171466783900.00003,74.31941619172308
011,11,157.14286,177.77153875216425,1209188261020.0,171429461280.0,73.57259578132421
012,12,171.42856,175.47727221319673,1202188234049.9998,171429461280.0,72.7637721420411
013,13,185.71428,173.30731128456992,1194423865299.9998,171429461280.0,72.01935298875158
014,14,199.99998,171.12143264778723,1187585529830.0,171466783900.00003,71.25239124442481
015,15,214.2857,168.97458750700696,1180822024329.9998,171504106520.00003,70.49766876382945
016,16,228.57142,166.7475410907008,1174135354060.0,171504106520.00003,69.70033935123728
017,17,242.85712,164.47035454052747,1166906826659.9998,171504106520.00003,68.89014163421929
018,18,257.14285,162.1896706930575,1161065343920.0,171541429140.0,68.05352843201528
019,19,271.42857,159.95304966737743,1153151315229.9998,171578751760.0,67.27312383317539
020,20,285.71427,157.60380420273694,1144005917600.0,171578751760.0,66.46124032300153
021,21,299.99999,155.26104532549948,1135014190429.9998,171578751760.0,65.645744508187
022,22,314.28571,152.88828139334038,1125941617510.0,171653397000.0,64.82507736567713
023,23,328.57141,150.5569197113221,1117026725569.9998,171653397000.0,64.00594810789732
024,24,342.85714,148.28789004942237,1108415164029.9998,171690719620.0,63.208741176638185
025,25,357.14286,145.9072707682299,1097573375559.9998,171802687480.00003,62.411659711865205
026,26,371.42856,143.3241825204855,1088343121659.9998,171840010100.00003,61.484025267494175
027,27,385.71428,140.94460825148053,1079353399749.9999,171840010100.00003,60.63062012952174
028,28,399.99998,138.47093343838276,1068978638439.9999,171914655340.00003,59.76724619729631
029,29,414.2857,136.11031931926766,1058749526549.9998,171914655340.00003,58.936943797578905
030,30,428.57142,133.75851021954435,1049446447939.9999,171914655340.00003,58.089231478251335
031,31,442.85712,131.4533301087042,1039910858379.9998,171914655340.00003,57.262089309993115
032,32,457.14285,129.10955870462172,1029071075169.9998,172026623200.00003,56.450158090503436
033,33,471.42857,126.70627243599013,1017847115809.9999,172026623200.00003,55.602265534302376
034,34,485.71427,124.43926666295212,1007314673519.9998,171989300580.00003,54.79314153788653
035,35,499.99999,122.17882902406441,996470879789.9999,172026623200.00003,53.99617267593743
036,36,514.28571,119.97933067642657,985174095719.9999,172063945820.00003,53.22986944297285
037,37,528.57141,117.80232111994488,974487982969.9998,172101268440.00003,52.45815881002853
038,38,542.85714,115.57802920099341,963185183120.0,172138591060.0,51.67194030517526
039,39,557.14284,113.37642162117083,952040064249.9999,172138591060.0,50.884684582390776
040,40,571.42856,111.23173445626233,941275111009.9999,172138591060.0,50.111715101770635
041,41,585.71428,109.11397319544298,930813488169.9998,172175913680.0,49.34467365267859
042,42,599.99998,107.0240850460475,921205073899.9999,172287881540.0,48.57777977463437
043,43,614.2857,104.98172262230457,910595796379.9998,172325204160.0,47.838558310321254
044,44,628.57143,102.96043779427339,899375847539.9999,172250558920.0,47.104983398919885
045,45,642.85713,101.03017266693524,888002228239.9998,172362526780.0,46.42843329447591
046,46,657.14285,99.03819840942953,875858251379.9999,172362526780.0,45.72240593437923
047,47,671.42857,97.14756436636924,865481484809.9998,172362526780.0,45.028098589691
048,48,685.71427,95.26118618475542,855329208149.9998,172362526780.0,44.32776514786563
049,49,699.99999,93.47188049823573,844178073499.9999,172399849400.0,43.68898143067931
050,50,714.28571,91.75293820359609,834636468159.9998,172362526780.0,43.04524134521697
051,51,728.57141,90.14624657034207,825179719089.9999,172325204160.0,42.44935237285228
052,52,742.85714,88.59828388701521,815569299559.9998,172325204160.0,41.883659677532506
053,53,757.14284,87.10070819773478,807960606529.9999,172325204160.0,41.30454977682609
054,54,771.42856,85.78943306629746,800964590079.9999,172362526780.0,40.803771893886015
055,55,785.71428,84.5874892298441,793505556989.9999,172362526780.0,40.357763918030514
056,56,799.99998,83.49197016038428,787277892839.9999,172250558920.0,39.93118867133003
057,57,814.2857,82.57416109704378,781046218169.9999,172175913680.0,39.59126628969221
058,58,828.57143,81.7260353816809,775502050049.9999,172175913680.0,39.27777833142394
059,59,842.85713,81.02255922227747,772651125499.9999,172213236300.0,38.99033685471771
060,60,857.14285,80.4265250426962,769955876669.9999,172175913680.0,38.74581723686384
061,61,871.42857,79.9332921325542,768111831149.9999,172175913680.0,38.53899178142758
062,62,885.71427,79.5329721954649,764346904879.9999,172138591060.0,38.40606314397795
063,63,899.99999,79.31959093729793,763732223039.9999,172138591060.0,38.313295604612364
064,64,914.28569,79.19402081542279,762814210799.9999,172026623200.00003,38.259682170336
065,65,928.57142,79.30456154236246,765194097669.9999,172026623200.00003,38.27332448945263
066,66,942.85714,79.47580713186953,767426329859.9999,172026623200.00003,38.318744541588245
067,67,957.14284,79.8324750181098,770432930129.9999,172026623200.00003,38.44057461317747
068,68,971.42856,80.43208541106046,775500044789.9999,172101268440.00003,38.65034829068704
069,69,985.71428,81.1731276574176,780419504769.9999,172138591060.0,38.92712452646503
070,70,999.99998,82.04937007811277,788111048809.9999,172101268440.00003,39.21607618977516
071,71,1014.2857,83.12529937638121,796645775119.9999,172063945820.00003,39.585071234183594
072,72,1028.57143,84.26961600045207,803492131629.9998,171951977960.00003,40.007019595919566
073,73,1042.85713,85.60413154571019,812255358369.9999,171914655340.00003,40.4909685962515
074,74,1057.14285,86.97726034624453,821479596489.9999,171690719620.0,40.968092050240564
075,75,1071.42857,88.42855415331051,831011175529.9999,171578751760.0,41.4828009106758
076,76,1085.71427,89.97471376785495,842928657219.9999,171392138660.0,41.99302574565626
077,77,1099.99999,91.57504968583986,853616775229.9999,171354816040.0,42.557713742359034
078,78,1114.28569,93.26839078597624,864842739849.9999,171354816040.0,43.15630053793129
079,79,1128.57142,95.04288259894048,874839340789.9998,171280170800.0,43.80286616705633
080,80,1142.85714,96.85598986112694,885224128399.9999,171242848180.0,44.46000958041949
081,81,1157.14284,98.71201722350685,896444077239.9999,171168202940.0,45.1155917500994
082,82,1171.42856,100.61748057150292,908517234649.9999,171093557700.0,45.77520194014989
083,83,1185.71428,102.5261025389031,920814881969.9999,171018912460.0,46.42818646195865
084,84,1199.99998,104.37709007928237,933264194489.9998,170906944600.00003,47.045008914191136
085,85,1214.28571,106.2782160351154,944643829569.9999,170720331500.00003,47.691389404982836
086,86,1228.57143,108.18370589610296,956257980859.9999,170720331500.00003,48.3491206796106
087,87,1242.85713,110.08446047484878,967483945479.9998,170608363640.00003,48.996854854133694
088,88,1257.14285,112.05420767521599,979559108149.9999,170384427920.00003,49.6460371922696
089,89,1271.42855,114.04677397336225,993162954379.9998,170347105300.00003,50.29341067075286
090,90,1285.71427,116.05580612334029,1004306067989.9999,170272460060.00003,50.98193504382933
091,91,1299.99999,118.09528702254694,1013228980969.9999,170048524340.0,51.702434000342954
092,92,1314.2857,120.10491805504645,1023991928949.9999,169899233860.0,52.382041665028495
093,93,1328.57142,122.0846759728957,1034457562309.9998,169824588620.00003,53.05754125800016
094,94,1342.85714,124.08530332411205,1043756630399.9998,169824588620.00003,53.76637904254179
095,95,1357.14284,126.10391849421154,1053441879899.9999,169787266000.00003,54.469086909334976
096,96,1371.42856,128.1564091208259,1062205106639.9999,169749943380.00003,55.198941449296385
097,97,1385.71428,130.21086905277087,1071124009099.9998,169675298140.00003,55.91953197697389
098,98,1399.99998,132.244282373079,1079887235839.9999,169749943380.00003,56.64705230318453
099,99,1414.28571,134.20125912886382,1087501944649.9998,169712620760.00003,57.346637457280416
100,100,1428.57143,136.15654091322426,1094572791069.9998,169526007660.00003,58.03532306923752
101,101,1442.85713,138.0356005980446,1102642495479.9998,169414039800.00003,58.679445537460246
102,102,1457.14285,139.88540712307804,1109175495289.9998,169376717180.0,59.344466179020905
103,103,1471.42855,141.7143301338249,1117016699269.9998,169376717180.0,59.97935412581741
104,104,1485.71427,143.5675928276584,1124779062759.9998,169302071940.0,60.614719996988256
105,105,1500.0,145.39331667512542,1131156386850.0,169264749320.00003,61.26546515851778
106,106,1514.2857,147.23534609615862,1139535437439.9998,169264749320.00003,61.889215636959186
107,107,1528.57142,149.01442036145195,1145682255840.0,169190104080.00003,62.51562194412498
108,108,1542.85714,150.77150438670316,1151291227629.9998,169227426700.00003,63.15452232503467
109,109,1557.14284,152.54408675997908,1158669414970.0,169190104080.00003,63.756409320506656
110,110,1571.42856,154.30486797004025,1165584585670.0,169190104080.00003,64.36454192549779
111,111,1585.71428,156.08138133334032,1172196425970.0,169152781460.00003,64.97815138486189
112,112,1599.99999,157.83473359755592,1177273566930.0,169040813600.0,65.59901376659079
113,113,1614.28571,159.568875493033,1183266714869.9998,169078136220.0,66.21246970438676
114,114,1628.57141,161.26679309519977,1189261868070.0,169003490980.0,66.79454744823734
115,115,1642.85713,162.92783509322,1195024510319.9998,168928845740.0,67.36396200147574
116,116,1657.14285,164.5833354747849,1199788294579.9998,168966168360.0,67.96326576804378
117,117,1671.42855,166.2552919298717,1205247606430.0,168928845740.0,68.54482283757916
118,118,1685.71427,167.84913613305065,1209859725490.0,168854200500.0,69.10371488095899
119,119,1700.0,169.41989779417978,1216243065360.0,168704910020.00003,69.6076329160214
120,120,1714.2857,170.94519048252556,1222547564739.9998,168630264780.00003,70.10303281867392
121,121,1728.57142,172.43252922040435,1227238524290.0,168518296920.00003,70.60713024865377
122,122,1742.85714,173.8700361720145,1230926615329.9998,168331683820.0,71.0983160089216
123,123,1757.14284,175.27994201743397,1235383058669.9998,168182393340.0,71.56739091180724
124,124,1771.42856,176.67029869408066,1239378490629.9998,167921135000.0,72.02014866532545
125,125,1785.71429,178.05797506671925,1243529598310.0,167883812380.00003,72.49960887073924
126,126,1799.99999,179.41532814209123,1247140854119.9998,167846489760.00003,72.97629281592289
127,127,1814.28571,180.73348112991462,1251059450849.9998,167622554040.0,73.40293920739985
128,128,1828.57141,182.00690182205406,1254595876689.9998,167547908800.00003,73.83964109363686
129,129,1842.85713,183.2864347136042,1259594177159.9998,167361295700.0,74.23267655899716
130,130,1857.14285,184.52487196976168,1262746426849.9998,167323973080.0,74.666464453178
131,131,1871.42855,185.66129308434054,1266588188349.9998,167212005220.0,75.03353014624591
132,132,1885.71428,186.8427437065132,1269894108499.9998,166876101640.0,75.3948676773384
133,133,1900.0,188.05126220131854,1272585346809.9998,166689488540.0,75.80072383259325
134,134,1914.2857,189.18864547173467,1275199749889.9998,166540198060.0,76.18427785106067
135,135,1928.57142,190.29661953094362,1278659340499.9998,166540198060.0,76.56127348524602
136,136,1942.85714,191.38307230412127,1282195766339.9998,166353584960.0,76.89878278783698
137,137,1957.14284,192.45667973610784,1285424851259.9998,166166971860.0,77.23645430551989
138,138,1971.42856,193.5090329854007,1288728766150.0,166017681380.0,77.56911763329492
139,139,1985.71427,194.52600861797808,1291729350639.9998,165905713519.99997,77.89883252260591
140,140,1999.99999,195.56347338527553,1294113248029.9998,165793745660.0,78.24856173334271
141,141,2014.28571,196.55796063368572,1296495140160.0,165569809940.0,78.56287921348037
142,142,2028.57141,197.5434014227467,1297955009529.9998,165383196840.0,78.8974760212507
143,143,2042.85713,198.48698423796773,1299414878899.9998,165084615880.0,79.1969197642795
144,144,2057.14285,199.39466794319782,1301566265339.9998,164860680160.0,79.47925907003888
145,145,2071.42855,200.23495512167574,1303640816549.9998,164786034920.0,79.75979841032418
146,146,2085.71428,201.0923785507856,1304949020719.9998,164674067060.0,80.0564204714252
147,147,2100.0,201.9241934657795,1306946736699.9998,164188873000.0,80.26760460855161
148,148,2114.2857,202.73606976423073,1308252935609.9998,164076905140.0,80.54518877405634
149,149,2128.57142,203.54473012790527,1311172674349.9998,163927614660.0,80.78187715419027
150,150,2142.85714,204.39447509163125,1313093555099.9998,163629033700.0,81.03028861835666
151,151,2157.14284,205.211727476275,1315398611999.9998,163293130120.0,81.25105759681561
152,152,2171.42857,205.96839839766872,1317319492749.9998,163106517020.0,81.47993213598187
153,153,2185.71427,206.65432980170908,1318856197349.9998,162957226540.0,81.69457864449276
154,154,2199.99999,207.36094007939826,1320700242870.0,162658645580.0,81.88567233174805
155,155,2214.28571,208.05916714334256,1322083277009.9998,162472032480.0,82.10131710234359
156,156,2228.57141,208.69686214787657,1323237810719.9998,162210774140.0,82.28484442546485
157,157,2242.85713,209.32008529392576,1324313503939.9998,162136128900.0,82.49555877825682
158,158,2257.14285,209.87563400798348,1325696538079.9998,161800225320.0,82.62859265582031
159,159,2271.42856,210.47304586376032,1327312083169.9998,161538966980.0,82.78555637445581
