snapshot,time_Myr,bin_index,r_mid,sigma_rad,sigma_tan,sigma_z
0,0.0,0,0.5,147.03328126574792,134.749170227146,49.59720396758862
0,0.0,1,1.5,137.43218462059363,123.17136099294265,28.218786620154138
0,0.0,2,2.5,133.33510119382748,127.36921808660233,19.622812049558437
0,0.0,3,3.5,131.67532523876736,121.08479362962596,15.74394611527067
0,0.0,4,4.5,128.79597417799204,126.2443592447853,13.802403594798257
0,0.0,5,5.5,131.03777675112232,123.00372185755036,10.804003008824266
0,0.0,6,6.5,133.91358133777834,121.54471948007514,9.426247401856381
0,0.0,7,7.5,131.26352668245042,118.06807309366735,8.185675799785981
0,0.0,8,8.5,125.88860546525895,116.95287408768141,7.550110168532675
0,0.0,9,9.5,112.75161063926097,126.26664053473199,5.592036689254489
0,0.0,10,10.5,117.53351039200463,126.54611985071944,4.494779417946251
0,0.0,11,11.5,118.30449641157156,113.28839715996087,4.875599087375887
0,0.0,12,12.5,101.48075875720009,125.44625764952616,4.240859889737871
0,0.0,13,13.5,92.16737018372336,96.35893530138907,4.21142236275414
0,0.0,14,14.5,76.42760266755243,95.7782940327339,4.164312869430686
0,0.0,15,15.5,9.72840392233077,0.8918475469913147,0.4420475198090976
0,0.0,16,16.5,63.43147271774383,1.5909076175497034,1.9068772628160744
0,0.0,17,17.5,0.0,0.0,0.0
0,0.0,18,18.5,0.0,0.0,0.0
0,0.0,19,19.5,0.0,0.0,0.0
1,14.2857,0,0.5,134.44768679218978,149.07500663561052,49.623061375628865
1,14.2857,1,1.5,121.22169075565427,145.27956953347305,29.62446717888317
1,14.2857,2,2.5,126.77185051248796,131.386239094942,19.276945327474966
1,14.2857,3,3.5,138.90599240373604,122.426860305117,15.64649725641512
1,14.2857,4,4.5,131.37514043349628,124.16389121696056,13.172364576191924
1,14.2857,5,5.5,134.48740905381737,119.85911361871676,11.153287455192897
1,14.2857,6,6.5,133.46149283384784,124.66623526054956,9.513960612379607
1,14.2857,7,7.5,126.98137840126243,122.65883134200432,7.979113173493123
1,14.2857,8,8.5,126.80358268595626,118.1264123973112,7.36486014988464
1,14.2857,9,9.5,116.88948420123377,119.93920764224312,5.676293979401538
1,14.2857,10,10.5,117.21624754179524,127.27179821116957,4.826211768398348
1,14.2857,11,11.5,114.87577183255014,134.0900341813311,4.927999612344162
1,14.2857,12,12.5,114.44250338453108,104.71011371799327,3.8419071066895576
1,14.2857,13,13.5,94.3357419791057,85.66462838866806,3.885147196793891
1,14.2857,14,14.5,80.75208624035483,106.01598277469915,2.9039581035398765
1,14.2857,15,15.5,0.0,0.0,0.0
1,14.2857,16,16.5,63.45378997596426,3.3844979585304316,1.5342839019344012
1,14.2857,17,17.5,0.0,0.0,0.0
1,14.2857,18,18.5,0.0,0.0,0.0
1,14.2857,19,19.5,0.0,0.0,0.0
2,28.57142,0,0.5,133.18900539924616,152.0808734568525,49.71177664267174
2,28.57142,1,1.5,124.54951320703742,146.78632463392034,28.65463022778028
2,28.57142,2,2.5,127.40569658295806,134.76825180417305,19.60264197292829
2,28.57142,3,3.5,132.12296397194424,131.24738730729538,16.107889146844403
2,28.57142,4,4.5,134.72353651025614,126.28779436448158,12.824546335888208
2,28.57142,5,5.5,135.0694873153575,121.43697710485912,11.12703095886342
2,28.57142,6,6.5,132.60768609131,124.03094023223855,9.3419634033965
2,28.57142,7,7.5,125.17446143558169,127.44251927300128,8.220972878033018
2,28.57142,8,8.5,127.32300765252798,120.91405360425068,7.0613987843349895
