# snap  time[Myr]  R_bin(kpc)  warp[deg]  h_z[kpc]
000       0.00    0.85  113.56    0.206
000       0.00    2.54  113.73    0.339
000       0.00    4.23  113.55    0.317
000       0.00    5.92  113.96    0.335
000       0.00    7.62  113.65    0.364
000       0.00    9.31  113.01    0.445
000       0.00   11.00  113.29    0.531
000       0.00   12.69  112.68    0.739
000       0.00   14.38  112.45    0.792
000       0.00   16.08     nan      nan
001      14.29    0.84  113.47    0.214
001      14.29    2.53  113.60    0.333
001      14.29    4.22  113.53    0.331
001      14.29    5.91  113.82    0.335
001      14.29    7.60  113.72    0.363
001      14.29    9.29  113.45    0.427
001      14.29   10.97  113.16    0.597
001      14.29   12.66  112.84    0.680
001      14.29   14.35  112.63    0.842
001      14.29   16.04     nan      nan
002      28.57    0.84  113.26    0.213
002      28.57    2.53  113.24    0.342
002      28.57    4.21  113.64    0.355
002      28.57    5.89  113.83    0.332
002      28.57    7.58  113.64    0.359
002      28.57    9.26  113.80    0.446
002      28.57   10.94  113.20    0.584
002      28.57   12.63  112.77    0.670
002      28.57   14.31  112.27    0.797
002      28.57   16.00     nan      nan
003      42.86    0.84  113.54    0.213
003      42.86    2.51  113.36    0.348
003      42.86    4.18  113.35    0.356
003      42.86    5.85  113.42    0.340
003      42.86    7.53  113.47    0.360
003      42.86    9.20  113.68    0.451
003      42.86   10.87  112.88    0.557
003      42.86   12.54  111.79    0.765
003      42.86   14.22  112.60    0.742
003      42.86   15.89     nan      nan
004      57.14    0.83  113.41    0.218
004      57.14    2.49  113.52    0.358
004      57.14    4.15  113.13    0.342
004      57.14    5.81  113.29    0.361
004      57.14    7.48  113.39    0.362
004      57.14    9.14  113.62    0.415
004      57.14   10.80  112.77    0.568
004      57.14   12.46  111.99    0.732
004      57.14   14.12  112.70    0.797
004      57.14   15.78     nan      nan
005      71.43    0.82  113.78    0.217
005      71.43    2.47  113.32    0.343
005      71.43    4.12  113.10    0.359
005      71.43    5.77  113.09    0.370
005      71.43    7.42  113.32    0.362
005      71.43    9.07  113.44    0.409
005      71.43   10.71  113.03    0.551
005      71.43   12.36  112.17    0.706
005      71.43   14.01  112.43    0.834
005      71.43   15.66     nan      nan
006      85.71    0.82  113.55    0.218
006      85.71    2.46  113.44    0.342
006      85.71    4.09  112.88    0.366
006      85.71    5.73  113.06    0.368
006      85.71    7.37  113.15    0.362
006      85.71    9.01  113.34    0.417
006      85.71   10.64  112.86    0.526
006      85.71   12.28  112.29    0.747
006      85.71   13.92  112.47    0.850
006      85.71   15.56     nan      nan
007     100.00    0.81  113.10    0.229
007     100.00    2.44  113.17    0.343
007     100.00    4.07  113.00    0.377
007     100.00    5.70  113.02    0.377
007     100.00    7.32  113.16    0.375
007     100.00    8.95  113.23    0.404
007     100.00   10.58  113.15    0.502
007     100.00   12.20  112.62    0.705
007     100.00   13.83  112.42    0.880
007     100.00   15.46     nan      nan
008     114.29    0.81  112.29    0.230
008     114.29    2.44  113.19    0.357
008     114.29    4.06  113.19    0.379
008     114.29    5.69  113.08    0.365
008     114.29    7.31  113.29    0.385
008     114.29    8.94  113.28    0.406
008     114.29   10.56  113.28    0.485
008     114.29   12.19  112.43    0.769
008     114.29   13.81     nan      nan
008     114.29   15.44     nan      nan
009     128.57    0.82  112.26    0.236
009     128.57    2.46  113.16    0.358
009     128.57    4.10  113.09    0.380
009     128.57    5.74  113.07    0.372
009     128.57    7.39  113.67    0.390
009     128.57    9.03  113.15    0.410
009     128.57   10.67  113.43    0.472
009     128.57   12.31  112.58    0.682
009     128.57   13.95     nan      nan
009     128.57   15.59     nan      nan
010     142.86    0.83  112.62    0.236
010     142.86    2.48  112.64    0.357
